Country,TotalCases,TotalDeaths,TotalRecovered,Critical
North America,1985234,120653,"624,697",19456
South America,758107,36746,"320,826",11077
Europe,1979578,171874,"958,838",9355
Asia,1061688,29328,"625,343",13698
Africa,131818,3814,"55,181",352
Oceania,8782,125,"8,164",4
,721,15,651,4
World,5925928,362555,"2,593,700",53946
USA,1768608,103344,"498,762",17202
Brazil,438812,26764,"193,181",8318
Russia,387623,4374,"159,257",2300
Spain,284986,27119,"196,958",854
UK,269127,37837,N/A,1559
Italy,231732,33142,"150,604",489
France,186238,28662,"67,191",1429
Germany,182452,8570,"164,100",744
India,167442,4797,"71,369",8944
Turkey,160979,4461,"124,369",683
Iran,143849,7627,"112,988",2543
Peru,141779,4099,"59,442",926
Canada,88512,6877,"46,840",1613
Chile,86943,890,"36,150",1289
Mexico,81400,9044,"56,638",378
Saudi Arabia,80185,441,"54,553",384
Pakistan,64028,1317,"22,305",111
Belgium,58061,9430,"15,682",187
Qatar,50914,33,"15,399",214
Netherlands,45950,5903,N/A,182
Bangladesh,42844,582,"9,015",1
Belarus,39858,219,"16,660",92
Ecuador,38471,3313,"18,425",220
Sweden,35727,4266,"4,971",280
Singapore,33860,23,"18,294",7
UAE,32532,258,"16,685",1
Portugal,31596,1369,"18,637",65
Switzerland,30796,1919,"28,300",36
South Africa,27403,577,"14,370",128
Colombia,25366,822,"6,665",136
Indonesia,25216,1520,"6,492",null
Ireland,24841,1639,"22,089",47
Kuwait,24112,185,"8,698",197
Poland,22964,1043,"10,692",160
Ukraine,22811,679,"8,934",267
Egypt,20793,845,"5,359",41
Romania,18982,1240,"12,829",182
Israel,16887,284,"14,727",37
Japan,16683,867,"14,147",136
Austria,16655,668,"15,347",25
Dominican Republic,16068,485,"8,952",123
Philippines,15588,921,"3,598",81
Argentina,14702,508,"4,617",171
Afghanistan,13659,246,"1,259",19
Panama,12131,320,"7,379",72
Denmark,11512,568,"10,180",20
S. Korea,11402,269,"10,363",15
Serbia,11300,241,"6,438",9
Bahrain,10052,15,"5,419",9
Kazakhstan,9932,37,"4,900",62
Czechia,9143,319,"6,464",19
Oman,9009,40,"2,177",31
Algeria,8997,630,"5,277",32
Nigeria,8915,259,"2,592",7
Armenia,8676,120,"3,297",10
Norway,8411,236,"7,727",10
Bolivia,8387,293,738,3
Malaysia,7732,115,"6,235",8
Moldova,7725,282,"4,123",256
Morocco,7697,202,"5,223",1
Ghana,7303,34,"2,412",16
Australia,7173,103,"6,582",4
Finland,6776,313,"5,500",11
Iraq,5457,179,"2,971",41
Cameroon,5436,175,"1,996",28
Azerbaijan,4759,56,"3,022",42
Honduras,4752,196,519,13
Guatemala,4348,80,565,5
Sudan,4346,195,749,null
Luxembourg,4008,110,"3,803",4
Hungary,3841,517,"2,024",24
Tajikistan,3563,47,"1,674",null
Guinea,3553,22,"1,950",24
Uzbekistan,3463,14,"2,694",7
Senegal,3348,39,"1,686",18
Thailand,3076,57,"2,945",59
Djibouti,2914,20,"1,241",null
Greece,2906,175,"1,374",16
DRC,2833,69,400,null
Ivory Coast,2641,32,"1,326",null
Bulgaria,2485,136,"1,016",22
Bosnia and Herzegovina,2462,153,"1,781",4
Gabon,2431,14,668,15
El Salvador,2278,42,"1,015",30
Croatia,2245,102,"2,051",5
North Macedonia,2077,121,"1,486",21
Cuba,1983,82,"1,734",2
Estonia,1859,67,"1,610",null
Somalia,1828,72,310,2
Iceland,1805,10,"1,792",null
Mayotte,1670,21,"1,315",10
Lithuania,1662,68,"1,216",17
Kyrgyzstan,1662,16,"1,088",4
Kenya,1618,58,421,7
Sri Lanka,1530,10,754,1
Slovakia,1520,28,"1,338",null
Maldives,1513,5,197,9
New Zealand,1504,22,"1,481",null
Slovenia,1473,108,"1,356",2
Haiti,1443,35,22,null
Venezuela,1325,11,302,4
Guinea-Bissau,1195,8,42,null
Mali,1194,72,652,null
Lebanon,1168,26,699,7
Albania,1099,33,851,5
Hong Kong,1080,4,"1,035",1
Tunisia,1071,48,946,2
Latvia,1064,24,745,3
Zambia,1057,7,779,1
Equatorial Guinea,1043,12,165,null
Nepal,1042,5,187,null
Costa Rica,1000,10,646,2
South Sudan,994,10,6,null
